Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-July-2017,33.55,34.00,33.20,33.70,33.637096555501922649,1106286,1516,37212249.00,169672,15.34,0.80,0.15
27-July-2017,35.10,35.45,32.60,33.90,34.021227391950542879,2445755,4037,83207587.00,644242,26.34,2.85,-1.20
26-July-2017,33.00,35.15,33.00,34.95,34.453620143265786199,2826076,4776,97368549.00,1037783,36.72,2.15,1.95
25-July-2017,33.20,33.60,32.90,33.10,33.203460380930550426,1177905,1873,39110522.00,354202,30.07,0.70,-0.10
24-July-2017,32.30,33.75,31.65,33.05,32.989809654638388486,2686170,4053,88616237.00,639239,23.80,2.10,0.75
21-July-2017,30.00,32.45,29.85,31.95,31.482742306304005251,3022507,4988,95156809.00,790759,26.16,2.60,1.95
20-July-2017,30.20,30.40,29.80,29.85,30.046329577776623071,442633,652,13299497.00,119185,26.93,0.60,-0.35
19-July-2017,30.00,30.35,29.85,30.25,30.195161355323078090,843666,1020,25474631.00,243169,28.82,0.50,0.25
18-July-2017,29.90,30.50,29.60,29.90,29.983966498156397550,719244,904,21565788.00,180925,25.15,0.90,0.00
17-July-2017,29.70,30.20,29.65,30.00,30.011719994028662420,803840,1061,24124621.00,298294,37.11,0.55,0.30
14-July-2017,30.25,30.45,29.55,29.70,29.865191800675931094,621661,1074,18566025.00,170029,27.35,0.90,-0.55
13-July-2017,29.70,30.60,29.30,30.25,29.920667003822352067,1771684,2557,53009967.00,430802,24.32,1.30,0.55
12-July-2017,29.10,29.65,28.80,29.40,29.451533203639055673,892869,1328,26296361.00,199299,22.32,0.85,0.30
11-July-2017,29.95,30.40,29.05,29.30,29.733150686179395032,1317294,2160,39167301.00,328834,24.96,1.35,-0.65
10-July-2017,29.00,30.00,28.80,29.80,29.471660513846641586,3665257,5130,108021210.00,1250820,34.13,1.20,0.80
7-July-2017,28.30,28.75,28.10,28.45,28.489910657625475054,560988,902,15982498.00,131239,23.39,0.65,0.15
6-July-2017,28.85,28.85,28.25,28.30,28.455051955688068143,768732,1119,21874309.00,227060,29.54,0.60,-0.55
5-July-2017,28.85,28.90,28.45,28.75,28.698346784218745198,715938,952,20546237.00,228990,31.98,0.45,-0.10
4-July-2017,30.00,30.00,28.65,28.90,29.135747245028616750,595106,1016,17338858.00,166861,28.04,1.35,-1.10
3-July-2017,29.95,30.25,29.55,29.70,29.848259607700547628,764569,1374,22821054.00,215260,28.15,0.70,-0.25
30-June-2017,29.10,30.00,28.65,29.70,29.473807578183790665,1423217,2405,41947624.00,293972,20.66,1.35,0.60
29-June-2017,28.50,29.40,28.30,29.00,28.755302377978237626,1778023,2377,51127589.00,442638,24.89,1.10,0.50
28-June-2017,27.05,28.50,26.75,28.25,27.781089793382010253,1647872,2163,45779680.00,422588,25.64,1.75,1.20
27-June-2017,26.80,27.20,26.45,27.05,26.805100611558196926,869582,1113,23309233.00,271803,31.26,0.75,0.25
23-June-2017,27.45,27.45,26.60,26.80,26.935514053669673266,641256,1067,17272560.00,174793,27.26,0.85,-0.65
22-June-2017,27.10,27.75,27.10,27.30,27.391498294410915770,815554,1017,22339246.00,224709,27.55,0.65,0.20
21-June-2017,27.35,27.55,27.10,27.15,27.277028616972825261,526960,821,14373903.00,119436,22.67,0.45,-0.20
20-June-2017,27.30,27.60,27.15,27.35,27.340351923881545303,516248,759,14114402.00,119278,23.10,0.45,0.05
19-June-2017,27.75,27.80,27.15,27.20,27.412898252139732623,748458,1055,20517403.00,162870,21.76,0.65,-0.55
16-June-2017,27.80,28.15,27.40,27.55,27.858912222895652348,1440387,1639,40127615.00,164009,11.39,0.75,-0.25
15-June-2017,27.60,28.15,27.40,27.65,27.798749685788256078,1408286,1750,39148590.00,202650,14.39,0.75,0.05
14-June-2017,27.40,28.00,26.85,27.75,27.291013919722047429,1222079,1635,33351775.00,213606,17.48,1.15,0.35
13-June-2017,27.85,28.00,27.30,27.50,27.622126559624536294,1204697,1616,33276293.00,254377,21.12,0.70,-0.35
12-June-2017,26.65,28.30,26.45,27.85,27.459933894626060645,1581112,2570,43417231.00,321405,20.33,1.85,1.20
9-June-2017,26.90,26.95,26.50,26.75,26.714357059205640007,859006,1288,22947793.00,156290,18.19,0.45,-0.15
8-June-2017,27.65,27.65,26.80,26.85,26.951461042646181045,748883,1319,20183491.00,256639,34.27,0.85,-0.80
7-June-2017,27.85,28.00,27.25,27.40,27.516214787224301356,1015647,2018,27946761.00,251315,24.74,0.75,-0.45
